,type,county,official_business_name,name,address,city,state,zip,lat,lng,geometry,type_generic
336,Farm Brewer,Monroe,Fairport Brewing Company Llc,Fairport Brewing Company,1044 University Ave,Rochester,NY,14607,43.15315,-77.57358,POINT (-77.57358000000001 43.15315),other
446,Farm Distiller D,Seneca,Martins Honey Farm & Meadery Llc,Hidden Marsh Distillery,2981 Auburn Road,Seneca Falls,NY,13148,42.9548491,-76.75689926,POINT (-76.75689926 42.95484909999999),other
449,Farm Distiller D,Wayne,Celk Distilling Llc,"Apple C'Ntry Spirits, Silverback Dist, Rootstock",3274 Eddy Rd,Williamson,NY,14589,43.20156169,-77.22518945,POINT (-77.22518945 43.20156169000001),other
473,Farm Distiller D,Schuyler,Damiani Wine Cellars Llc,Damiani Wine Cellars,5281 Peach Orchard Rd,Hector,NY,14841,42.49543,-76.88049000000002,POINT (-76.88049000000004 42.49542999999999),other
480,Farm Distiller D,Seneca,Varick Winery & Vineyard Llc,Varick Winery & Vineyard ,5102 Rte 89,Romulus,NY,14541,42.7773,-76.77022,POINT (-76.77021999999999 42.7773),other
845,Micro Brewer,Monroe,Fifth Frame Brewing Co Llc,Fifth Frame Brewing Co ,138 Joseph Ave,Rochester,NY,14605,43.16586,-77.60614,POINT (-77.60614 43.16586),other
847,Micro Brewer,Tompkins,Liquid State Brewing Company Inc,Liquid State Brewing Company ,620 W Green St,Ithaca,NY,14850,42.43872,-76.50768000000002,POINT (-76.50768000000002 42.43872),other
863,Micro Brewer,Livingston,No Bs Brew Company Llc,No Bs Brew Company ,3474 Bronson Hill Rd,Livonia,NY,14487,42.83377,-77.69192,POINT (-77.69192 42.83377000000001),other
877,Micro Brewer,Monroe,Winery Exchange Inc,World Brews,445 St Paul St,Rochester,NY,14605,43.16493105,-77.61437097,POINT (-77.61437097000001 43.16493105000001),other
960,Micro Brewer,Seneca,"Irish Mafia Brewing Co Llc, The","Irish Mafia Brewing Co , The",623 Lerch Rd,Geneva,NY,14456,42.82332,-76.92369000000002,POINT (-76.92369000000002 42.82332000000001),other
990,Micro Brewer,Steuben,Steuben Brewing Company Llc,Steuben Brewing Company ,10286 Judson Rd,Hammondsport,NY,14840,42.50379629,-77.18650658,POINT (-77.18650658 42.50379629),other
992,Micro Brewer,Seneca,Wagner Valley Brewing Llc,Wagner Brewing Co,9322 Route 414,Lodi,NY,14860,42.57353499,-76.85819852,POINT (-76.85819852 42.57353499000001),other
993,Micro Brewer,Seneca,Bottomless Brewing Llc,Bottomless Brewing ,3543 E Lake Rd,Geneva,NY,14456,42.85387,-76.93345,POINT (-76.93344999999999 42.85387),other
